rank,term,doc_freq,frequency,adj_frequency,methods,nonambiguous,informative,type,topic,role,notes,example
120,building,31,210,152,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"The ownership of the building having changed hands, the new owner requested the State Government to derequisition the flat on the ground that its allotment in favour of the appellant could not be said to be for a public purpose."
121,judge,77,1079,151,"spacy,yake",1,informative,FORUM-AUTHORITY,,ACTOR,,Lord Salmon in Director of Public Prosecutions v. Humphrys [1977] AC 1 stressed the importance of the inherent power when he observed that it is only if the prosecution amounts to an abuse of the process of the court and is oppressive and v
122,amendment,29,188,150,"spacy,yake",1,informative,STATUTE-PROVISION,,RULE,,It also provides that the Consolidation Officer will submit the scheme with the objections and his suggestions with regard to them to the Settlement Officer and for republication of the scheme with such amendments as may have been made.
123,public,52,1248,149,"spacy,yake",1,informative,PARTY-ACTOR,,ACTOR,,"Oil and Natural Gas Commission Act, 1959 : Section 14ONGC--Whether 'public utility' undertaking--Whether obliged to supply gas for consumption of public."
124,regulation,21,189,147,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Upon the dedication of a public utility to a public use and in return for the grant to it of a public franchise, the public utility is under a legal obligation to render adequate and reasonably efficient service impartially, without unjust "
125,sum,49,185,147,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"If the Board borrows sums either from the government or from other sources or by the issue of debentures and bonds, surely the Board must of necessity make provision year after year for the payment of interest on the loans taken by it and f"
126,affidavit,25,206,145,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,Further affidavits were filed by Madhubhai and by Matubhai the son of Chunilal pointing out the state of the market in regard to these shares.
127,deed,34,183,144,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,It is only then one accused can e made vicariously liable for the acts and deeds of the other co-accused. 39.
128,value,45,349,141,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,""" The second constraint is in regard to the rates that can be charged by such an undertaking: A public utility may, in the absence of a legislative prescription or limitation of rates, fix and exact reasonable rates for services furnished, "
129,house,47,296,138,"spacy,yake",1,informative,PROPERTY-RES,,EVIDENCE,,"All of them came from the side of house of accused No. 6 Harjit Singh And vs State Of Punjab on 16 August, 2002 Gursharan Singh."
130,office,37,233,138,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Office is directed to send back records and proceedings to the High Court Krishnamurthy S. Setlur Dead By Lrs vs O. V. Narasimha Setty & on 23 February, 2007 expeditiously."
131,district judge,18,137,137,"spacy,yake",1,informative,FORUM-AUTHORITY,,ACTOR,,"These are two appeals filed with certificates under Article 133(1) of the Constitution against the Judgment and Order of the High Court of Judicature at Bombay setting aside the order passed by the District Judge, Ahmedabad. 2."
132,family,34,425,136,spacy,1,informative,PARTY-ACTOR,,ACTOR,,The Panchayat had approached Hari Singh (PW1) and members of his family but they persisted in their stand.
133,son,28,252,136,"spacy,yake",1,informative,PARTY-ACTOR,,ACTOR,,This version of the incident given by him is that on 15.10.1994 at about 8.30 in the morning he was proceeding with his son Harjinder Singh (deceased) towards their field.
134,debt,14,180,135,"spacy,yake",1,informative,MONETARY-VALUATION,,EVIDENCE,,It must be able to pay the interest on the loans taken by it must be able to discharge its debts; it must be able to give efficient and economic service; it must be able to continue the due performance of its services by providing for depre
135,protection,29,233,133,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"vs M/S Sunder Brothers Of Delhi on 20 April, 1966 instance, have said to themselves, 'If in any particular case it would be unfair to allow the arbitration we are agreeing to proceed we shall have the protection of the Court""."
136,tax officer,11,131,131,textacy,1,informative,FORUM-AUTHORITY,,ACTOR,,
137,v. union,27,131,131,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Association for Democratic Reforms,[1] People's Union for Civil Liberties (PUCL) & Another V. Union of India and Another[2], Notification issued by the Election Commission of India and the Notification of the State Election Commission, Sect"
138,declaration,45,249,130,spacy,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,All that the respondents wanted was a declaration that they were entitled to the supply of gas at a reasonable price.
139,rent,23,304,127,"spacy,yake",1,informative,MONETARY-VALUATION,TENANCY-LEASE,EVIDENCE,,In his defence Raju stated that he was in possession for eight years; that he continued to be in possession; that Iyengar was collecting rents arising from the suit properties as a constituted attorney of K.S. Setlur; that on termination of
140,state of bihar,15,126,126,yake,1,informative,FORUM-AUTHORITY,,ACTOR,,
141,construction,32,229,125,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"The learned Attorney-General appearing for Chunilal before us contended that even though on a construction of the terms of the agreement dated 3-11-1953 he had no right to the purchase of these 1936 shares, he had acquired a right to his of"
142,senior counsel,18,114,114,spacy,1,informative,PARTY-ACTOR,,ACTOR,,Learned senior counsel
143,limitation act,6,109,109,"spacy,yake",1,informative,STATUTE-PROVISION,PROCEDURE-REMEDY,RULE,,"In this connection, the appellants placed reliance on Section 27 of the Limitation Act, 1963."
144,rate,36,193,109,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,The supply to GSEB was revised to Rs. 155 and the rate of supply to GSFC was revised to Rs.320 per unit.
145,process,37,239,108,"spacy,yake",1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Ajit Singh (not examined), Darshan Singh PW5 and Gurvinder Singh, PW3 tried to rescue the deceased and in the process they also received injuries."
146,individual,39,185,106,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"the special status of a Government owned transport undertaking is obvious ..... Its functional motto is not more profits at any cost but service to citizens first and, in a far larger measure than private companies and individuals, although"
147,commissioner of income,9,106,106,yake,1,informative,FORUM-AUTHORITY,,ACTOR,,
148,learn senior counsel,17,106,106,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"As rightly pointed out by learned senior counsel for the respondent, the place of failure to pay the amount has been clearly qualified by this Court as the place where the drawer resides or the place where the payee resides."
149,commissioner of income tax,9,105,105,"spacy,yake",1,informative,FORUM-AUTHORITY,,ACTOR,,"vs Commissioner Of Income Tax, Kanpur on 12 January, 1982 , [1982]3SCR9, 1982(14)UJ751(SC) Bench: E.S. Venkataramiah, R.S. Pathak JUDGMENT 1."
150,statutory tenant,1,104,104,spacy,1,informative,PARTY-ACTOR,TENANCY-LEASE,ACTOR,,The High Court dismissed the appeal of the appellant on the ground that a statutory tenant re893 maining in possession after determination of its contractual tenancy was in law not competent to sublet the premises in whole or in part and a 
151,profit,22,201,101,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"According to them, a public sector undertaking must supply its goods at a price which will cover their cost and leave them a reasonable margin of profit and no more."
152,delhi,40,189,100,"spacy,yake",1,informative,JURISDICTION-PLACE,,EVIDENCE,,"vs M/S Sunder Brothers Of Delhi on 20 April, 1966 COURT 249"
153,fundamental right,15,99,99,spacy,1,informative,LEGAL-CONCEPT,CONSTITUTIONAL,ISSUE,,The. impugned order infringed the fundamental rights of the petitioner and he was entitled to a writ or direction from the Supreme Court.
154,special leave,38,97,97,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Appeal by special leave from the judgment and order dated July 4, 1966 of the Patna High Court in Criminal Appeal No. 524 of 1964."
155,appellate tribunal,10,97,97,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,The Appellate Tribunal held that restoration of the two theaters to the original owners amounted to transfer by the firm and the entries adjusting the depreciation and writing off the assets at the original value amounted to total recoupmen
156,appellate court,19,96,96,"rake,spacy,textacy",1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"As stated above, adverse possession or ouster is an inference to be drawn from the facts proved that work is of the first appellate court."
157,municipal limit,5,95,95,"spacy,textacy",1,informative,FORUM-AUTHORITY,,ACTOR,,"While terminal taxes are leviable on goods ""imported or exported"" from municipal limits denoting thereby that they are Burmah Shell Oil Storage &Distributing ... vs The Belgaum Borough Municipality on 16 November, 1962 connected with the tr"
158,schedule,30,615,95,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Entry No. 41 in List III (Concurrent List) of the Seventh Schedule to the Constitution, reads thus : ""Custody, management and disposal of property (including agricultural land) declared by law to be evacuee property""."
159,wealth tax,2,94,94,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,The assessee (Appellant No. 2) who was Karta of a Hindu Undivided Family was a partner of the family firm (Appellant No. 1) and was being assessed to wealth tax as a HUF.
160,sale deed,15,91,91,"spacy,textacy,yake",1,informative,INSTRUMENT-EVIDENCE,SALE-CONTRACT,EVIDENCE,,H.R. Narayana Iyengar (represented by his LRs.) claimed to have purchased the suit properties from Iyer under sale deed dated 10.7.1942.
161,public utility,3,90,90,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"If the ONGC were to be treated as a public utility bound to supply an essential commodity of this nature to any one for the asking subject to availability, it may be that the price for such supply should be fixed on a cost plus basis."
162,impugned judgment,22,88,88,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"In the impugned judgment, while declining to exercise its inherent powers, the High Court observed as under: ""In this context, I may again reiterate that the acts relating to demand or subjecting to cruelty, as per the complaint petition, h"
163,preliminary decree,1,88,88,spacy,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,The reliefs sought for in the suit were as follows:- “The Plaintiff therefore prays that a preliminary decree be passed:- (a) directing that the properties detailed in Schedule IV which are in the possession of the part as detailed therein 
164,municipal,21,222,88,yake,1,informative,FORUM-AUTHORITY,,ACTOR,,
165,decision of this court,30,86,86,yake,1,informative,FORUM-AUTHORITY,,ACTOR,,
166,gift,11,184,84,"spacy,yake",1,informative,LEGAL-CONCEPT,,ISSUE,,"P.N. Bhagwati, V.D. Tulzapurkar COMMISSIONER OF INCOME TAX, PATIALA Vs. M/s. GROZ BACKERT SABOO LTD. DATE OF JUDGMENT22/11/1978 BHAGWATI, P.N. BHAGWATI, P.N. TULZAPURKAR, V.D. CITATION: 1979 (2) 371 1979 (1) 340 ACT: Taxable Profits Computa"
167,board,27,320,82,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,It is not the function of the Board to so manage its affairs as to earn the maximum profit; even as a private corporate body may be inspired to earn huge profits with a view to paying large dividends to its shareholders.
168,impugn order,22,82,82,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"In case the impugned order clearly brings out a situation which is an abuse of the process of the court, or for the purpose of securing the ends of justice interference by the High Court is absolutely necessary, then nothing contained in Se"
